CNTPCTSS_EL0		S3_3_c14_c0_5
CNTVCTSS_EL0		S3_3_c14_c0_6
CNTP_TVAL_EL0		S3_3_c14_c2_0
CNTP_CTL_EL0		S3_3_c14_c2_1
CNTP_CVAL_EL0		S3_3_c14_c2_2
CNTV_TVAL_EL0		S3_3_c14_c3_0
CNTV_CTL_EL0		S3_3_c14_c3_1
CNTV_CVAL_EL0		S3_3_c14_c3_2
PMEVCNTR0_EL0		S3_3_c14_c8_0
PMEVCNTR1_EL0		S3_3_c14_c8_1
PMEVCNTR2_EL0		S3_3_c14_c8_2
PMEVCNTR3_EL0		S3_3_c14_c8_3
PMEVCNTR4_EL0		S3_3_c14_c8_4
PMEVCNTR5_EL0		S3_3_c14_c8_5
PMEVCNTR6_EL0		S3_3_c14_c8_6
PMEVCNTR7_EL0		S3_3_c14_c8_7
PMEVCNTR8_EL0		S3_3_c14_c9_0
PMEVCNTR9_EL0		S3_3_c14_c9_1
PMEVCNTR10_EL0		S3_3_c14_c9_2
PMEVCNTR11_EL0		S3_3_c14_c9_3
PMEVCNTR12_EL0		S3_3_c14_c9_4
PMEVCNTR13_EL0		S3_3_c14_c9_5
PMEVCNTR14_EL0		S3_3_c14_c9_6
PMEVCNTR15_EL0		S3_3_c14_c9_7
PMEVCNTR16_EL0		S3_3_c14_c10_0
PMEVCNTR17_EL0		S3_3_c14_c10_1
PMEVCNTR18_EL0		S3_3_c14_c10_2
PMEVCNTR19_EL0		S3_3_c14_c10_3
PMEVCNTR20_EL0		S3_3_c14_c10_4
PMEVCNTR21_EL0		S3_3_c14_c10_5
PMEVCNTR22_EL0		S3_3_c14_c10_6
PMEVCNTR23_EL0		S3_3_c14_c10_7
PMEVCNTR24_EL0		S3_3_c14_c11_0
PMEVCNTR25_EL0		S3_3_c14_c11_1
PMEVCNTR26_EL0		S3_3_c14_c11_2
PMEVCNTR27_EL0		S3_3_c14_c11_3
PMEVCNTR28_EL0		S3_3_c14_c11_4
PMEVCNTR29_EL0		S3_3_c14_c11_5
PMEVCNTR30_EL0		S3_3_c14_c11_6
PMEVCNTR31_EL0		S3_3_c14_c11_7
PMEVTYPER0_EL0		S3_3_c14_c12_0
PMEVTYPER1_EL0		S3_3_c14_c12_1
PMEVTYPER2_EL0		S3_3_c14_c12_2
PMEVTYPER3_EL0		S3_3_c14_c12_3
PMEVTYPER4_EL0		S3_3_c14_c12_4
PMEVTYPER5_EL0		S3_3_c14_c12_5
PMEVTYPER6_EL0		S3_3_c14_c12_6
PMEVTYPER7_EL0		S3_3_c14_c12_7
PMEVTYPER8_EL0		S3_3_c14_c13_0
PMEVTYPER9_EL0		S3_3_c14_c13_1
PMEVTYPER10_EL0		S3_3_c14_c13_2
PMEVTYPER11_EL0		S3_3_c14_c13_3
PMEVTYPER12_EL0		S3_3_c14_c13_4
PMEVTYPER13_EL0		S3_3_c14_c13_5
PMEVTYPER14_EL0		S3_3_c14_c13_6
PMEVTYPER15_EL0		S3_3_c14_c13_7
PMEVTYPER16_EL0		S3_3_c14_c14_0
PMEVTYPER17_EL0		S3_3_c14_c14_1
PMEVTYPER18_EL0		S3_3_c14_c14_2
PMEVTYPER19_EL0		S3_3_c14_c14_3
PMEVTYPER20_EL0		S3_3_c14_c14_4
PMEVTYPER21_EL0		S3_3_c14_c14_5
PMEVTYPER22_EL0		S3_3_c14_c14_6
PMEVTYPER23_EL0		S3_3_c14_c14_7
PMEVTYPER24_EL0		S3_3_c14_c15_0
PMEVTYPER25_EL0		S3_3_c14_c15_1
PMEVTYPER26_EL0		S3_3_c14_c15_2
PMEVTYPER27_EL0		S3_3_c14_c15_3
PMEVTYPER28_EL0		S3_3_c14_c15_4
PMEVTYPER29_EL0		S3_3_c14_c15_5
PMEVTYPER30_EL0		S3_3_c14_c15_6
PMCCFILTR_EL0		S3_3_c14_c15_7
PMEVTYPER31_EL0		S3_3_c14_c15_7
VPIDR_EL2			S3_4_c0_c0_0
VMPIDR_EL2			S3_4_c0_c0_5
SCTLR_EL2			S3_4_c1_c0_0
ACTLR_EL2			S3_4_c1_c0_1
HCR_EL2				S3_4_c1_c1_0
MDCR_EL2			S3_4_c1_c1_1
CPTR_EL2			S3_4_c1_c1_2
HSTR_EL2			S3_4_c1_c1_3
HFGRTR_EL2			S3_4_c1_c1_4
HFGWTR_EL2			S3_4_c1_c1_5
HFGITR_EL2			S3_4_c1_c1_6
HACR_EL2			S3_4_c1_c1_7
ZCR_EL2				S3_4_c1_c2_0
TRFCR_EL2			S3_4_c1_c2_1
SDER32_EL2			S3_4_c1_c3_1
TTBR0_EL2			S3_4_c2_c0_0
TTBR1_EL2			S3_4_c2_c0_1
TCR_EL2				S3_4_c2_c0_2
VTTBR_EL2			S3_4_c2_c1_0
VTCR_EL2			S3_4_c2_c1_2
VNCR_EL2			S3_4_c2_c2_0
VSTTBR_EL2			S3_4_c2_c6_0
